id	detection_time	location_area	distance	detectors			NS_NS	NS_BH	BH_BH	mass_gap	terrestrial		
GW event	Detection time	Location area	Luminosity distance	Detector	False Alarm Rate	False Alarm chance in O4	NS / NS	NS / BH	BH / BH	Mass gap	Terrestrial	Notes	Ref
GW event	 Detection	Location	Luminosity	Detector	False Alarm	False Alarm	Classification					Notes	Ref
	time (UTC)	area[n 23]	distance	[n 25]	Rate (Hz)	chance in O4[n 26]							
		(deg2)	(Mpc)[n 24]				NS / NS	NS / BH	BH / BH	Mass gap	Terrestrial		
							[n 27]	[n 28]	[n 29]	[n 30]	[n 31]		
S231028bg	2023-10-28 00:00:00	1207	4221±923	H,L	7.6 10−31	0.0	0.0	0.0	~1.0	0.0	0.0		[185]
	15:30:06												
S231029y	2023-10-29 00:00:00	29972	3292±1313	L	2.2 10−10	0.010	0.0	0.0	0.99977	0.0	0.00023	Detected by only the Livingston detector, resulting in a bad sky localization.	[186]
	11:15:08												
S231102w	2023-11-02 00:00:00	2555	4123±1317	H,L	5.8 10−23	0.0	0.0	0.0	~1.0	0.0	3.3e-16		[187]
	07:17:36												
S231102ci	2023-11-02 00:00:00	5781	?	H,L	3.6 10−7	~1.0[n 80]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 16 milliseconds at a frequency of ~60 Hertz.	[188]
	23:24:33												
S231104ac	2023-11-04 00:00:00	759	1357±321	H,L	3.2 10−10	0.015	0.0	0.0020	0.988	0.0088	0.0018		[189]
	13:34:18												
S231108p	2023-11-08 00:00:00	8458	?	H,L	2.9 10−7	~1.0[n 81]	0.0	0.0	0.0	0.0	?	Unidentified gravitational wave "burst" lasting 19 milliseconds at a frequency of tens of Hertz.	[190]
	05:02:19												
S231108u	2023-11-08 00:00:00	1121	2240±592	H,L	3.2 10−10	0.015	0.0	0.0	0.99969	0.0	0.00032		[191]
	12:51:42												
S231110g	2023-11-10 00:00:00	1095	1949±542	H,L	1.9 10−8	0.593	0.0	0.0	0.968	0.0	0.032		[192]
	04:03:20												
